ActivityID,ActivityName
e2270ec4-98ee-11e9-9fbb-0028f8be90af,Armour_Placement_S14_B02
e2270ec5-98ee-11e9-b4bd-0028f8be90af,Armour_Placement_S15_B02
e2270ec6-98ee-11e9-ab92-0028f8be90af,Armour_Placement_S16_B02
e2270ec7-98ee-11e9-b6b2-0028f8be90af,Armour_Placement_S17_B02
e2270ec8-98ee-11e9-99f9-0028f8be90af,Armour_Placement_S18_B02
e2270ec9-98ee-11e9-9dac-0028f8be90af,Armour_Placement_S19_B02
e2270eca-98ee-11e9-a32b-0028f8be90af,Armour_Placement_S20_B02
e2270ecb-98ee-11e9-b4f4-0028f8be90af,Levvel_Placement_S01_B01
e2270ecc-98ee-11e9-aafd-0028f8be90af,Levvel_Placement_S02_B01
e2270ecd-98ee-11e9-8675-0028f8be90af,Levvel_Placement_S03_B01
e2270ece-98ee-11e9-9ee9-0028f8be90af,Levvel_Placement_S04_B01
e2270ecf-98ee-11e9-ac3e-0028f8be90af,Levvel_Placement_S05_B01
e2270ed0-98ee-11e9-a0d3-0028f8be90af,Levvel_Placement_S06_B01
e2270ed1-98ee-11e9-b24a-0028f8be90af,Levvel_Placement_S07_B01
e2270ed2-98ee-11e9-bdbe-0028f8be90af,Levvel_Placement_S08_B01
e2270ed3-98ee-11e9-b255-0028f8be90af,Levvel_Placement_S09_B01
e2270ed4-98ee-11e9-962b-0028f8be90af,Levvel_Placement_S10_B01
e2270ed5-98ee-11e9-b5b4-0028f8be90af,Levvel_Placement_S11_B01
e22735d2-98ee-11e9-af84-0028f8be90af,Levvel_Placement_S12_B01
e22735d3-98ee-11e9-94a5-0028f8be90af,Levvel_Placement_S13_B01
e22735d4-98ee-11e9-8c06-0028f8be90af,Levvel_Placement_S14_B01
e22735d5-98ee-11e9-bca4-0028f8be90af,Levvel_Placement_S15_B01
e22735d6-98ee-11e9-b20a-0028f8be90af,Levvel_Placement_S16_B01
e22735d7-98ee-11e9-a733-0028f8be90af,Levvel_Placement_S17_B01
e22735d8-98ee-11e9-b77c-0028f8be90af,Levvel_Placement_S18_B01
e22735d9-98ee-11e9-b4a1-0028f8be90af,Levvel_Placement_S19_B01
e22735da-98ee-11e9-abd2-0028f8be90af,Levvel_Placement_S20_B01
e22735db-98ee-11e9-b5ad-0028f8be90af,Levvel_Placement_S01_B02
e22735dc-98ee-11e9-9be9-0028f8be90af,Levvel_Placement_S02_B02
e22735dd-98ee-11e9-8a01-0028f8be90af,Levvel_Placement_S03_B02
e22735de-98ee-11e9-9612-0028f8be90af,Levvel_Placement_S04_B02
e22735df-98ee-11e9-bb9a-0028f8be90af,Levvel_Placement_S05_B02
e22735e0-98ee-11e9-8268-0028f8be90af,Levvel_Placement_S06_B02
e2275cd4-98ee-11e9-a19a-0028f8be90af,Levvel_Placement_S07_B02
e2275cd5-98ee-11e9-9f3c-0028f8be90af,Levvel_Placement_S08_B02
e2275cd6-98ee-11e9-9c8e-0028f8be90af,Levvel_Placement_S09_B02
e2275cd7-98ee-11e9-bd88-0028f8be90af,Levvel_Placement_S10_B02
e2275cd8-98ee-11e9-888c-0028f8be90af,Levvel_Placement_S11_B02
e2275cd9-98ee-11e9-8699-0028f8be90af,Levvel_Placement_S12_B02
e2275cda-98ee-11e9-8b02-0028f8be90af,Levvel_Placement_S13_B02
e2275cdb-98ee-11e9-a824-0028f8be90af,Levvel_Placement_S14_B02
e2275cdc-98ee-11e9-b28a-0028f8be90af,Levvel_Placement_S15_B02
e2275cdd-98ee-11e9-8534-0028f8be90af,Levvel_Placement_S16_B02
e22783e8-98ee-11e9-93cd-0028f8be90af,Levvel_Placement_S17_B02
e22783e9-98ee-11e9-9bcd-0028f8be90af,Levvel_Placement_S18_B02
e22783ea-98ee-11e9-a13a-0028f8be90af,Levvel_Placement_S19_B02
e22783eb-98ee-11e9-bd23-0028f8be90af,Levvel_Placement_S20_B02
6dbbbdf7-4589-11e9-bf3b-b469212bff5b,Soil movement
b6d86646-98ef-11e9-b4fc-0028f8be90af,Clay_Placement_S01_B01
b6d86647-98ef-11e9-88a9-0028f8be90af,Clay_Placement_S01_B02
b6d86648-98ef-11e9-9cf5-0028f8be90af,Clay_Placement_S02_B01
b6d86649-98ef-11e9-813a-0028f8be90af,Clay_Placement_S02_B02
b6d8664a-98ef-11e9-9de7-0028f8be90af,Clay_Placement_S03_B01
b6d8664b-98ef-11e9-886d-0028f8be90af,Clay_Placement_S03_B02
b6d8664c-98ef-11e9-a003-0028f8be90af,Clay_Placement_S04_B01
b6d8664d-98ef-11e9-ab21-0028f8be90af,Clay_Placement_S04_B02
b6d8664e-98ef-11e9-acab-0028f8be90af,Clay_Placement_S05_B01
b6d88d66-98ef-11e9-a9fd-0028f8be90af,Clay_Placement_S05_B02
b6d88d67-98ef-11e9-8ea3-0028f8be90af,Clay_Placement_S06_B01
b6d88d68-98ef-11e9-aaef-0028f8be90af,Clay_Placement_S06_B02
b6d88d69-98ef-11e9-819f-0028f8be90af,Clay_Placement_S07_B01
b6d88d6a-98ef-11e9-abd2-0028f8be90af,Clay_Placement_S07_B02
b6d88d6b-98ef-11e9-9004-0028f8be90af,Clay_Placement_S08_B01
b6d88d6c-98ef-11e9-9c4d-0028f8be90af,Clay_Placement_S08_B02
b6d88d6d-98ef-11e9-9704-0028f8be90af,Clay_Placement_S09_B01
b6d88d6e-98ef-11e9-a844-0028f8be90af,Clay_Placement_S09_B02
b6d88d6f-98ef-11e9-ae6b-0028f8be90af,Clay_Placement_S10_B01
b6d88d70-98ef-11e9-8572-0028f8be90af,Clay_Placement_S10_B02
b6d88d71-98ef-11e9-a0f0-0028f8be90af,Clay_Placement_S11_B01
