ActivityID,EquipmentID,ActivityFunction
b6d88d6c-98ef-11e9-9c4d-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d88d6c-98ef-11e9-9c4d-0028f8be90af,b6d531db-98ef-11e9-8f89-0028f8be90af,Mover
b6d88d6c-98ef-11e9-9c4d-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d88d6d-98ef-11e9-9704-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d88d6d-98ef-11e9-9704-0028f8be90af,b6d531da-98ef-11e9-b7a2-0028f8be90af,Mover
b6d88d6d-98ef-11e9-9704-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d88d6e-98ef-11e9-a844-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d88d6e-98ef-11e9-a844-0028f8be90af,b6d531db-98ef-11e9-8f89-0028f8be90af,Mover
b6d88d6e-98ef-11e9-a844-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d88d6f-98ef-11e9-ae6b-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d88d6f-98ef-11e9-ae6b-0028f8be90af,b6d531da-98ef-11e9-b7a2-0028f8be90af,Mover
b6d88d6f-98ef-11e9-ae6b-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d88d70-98ef-11e9-8572-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d88d70-98ef-11e9-8572-0028f8be90af,b6d531db-98ef-11e9-8f89-0028f8be90af,Mover
b6d88d70-98ef-11e9-8572-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d88d71-98ef-11e9-a0f0-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d88d71-98ef-11e9-a0f0-0028f8be90af,b6d531da-98ef-11e9-b7a2-0028f8be90af,Mover
b6d88d71-98ef-11e9-a0f0-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d88d72-98ef-11e9-b806-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d88d72-98ef-11e9-b806-0028f8be90af,b6d531db-98ef-11e9-8f89-0028f8be90af,Mover
b6d88d72-98ef-11e9-b806-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d88d73-98ef-11e9-a0ad-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d88d73-98ef-11e9-a0ad-0028f8be90af,b6d531da-98ef-11e9-b7a2-0028f8be90af,Mover
b6d88d73-98ef-11e9-a0ad-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d88d74-98ef-11e9-9d9f-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d88d74-98ef-11e9-9d9f-0028f8be90af,b6d531db-98ef-11e9-8f89-0028f8be90af,Mover
b6d88d74-98ef-11e9-9d9f-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d88d75-98ef-11e9-814a-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d88d75-98ef-11e9-814a-0028f8be90af,b6d531da-98ef-11e9-b7a2-0028f8be90af,Mover
b6d88d75-98ef-11e9-814a-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d88d76-98ef-11e9-8071-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d88d76-98ef-11e9-8071-0028f8be90af,b6d531db-98ef-11e9-8f89-0028f8be90af,Mover
b6d88d76-98ef-11e9-8071-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d88d77-98ef-11e9-b9cf-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d88d77-98ef-11e9-b9cf-0028f8be90af,b6d531da-98ef-11e9-b7a2-0028f8be90af,Mover
b6d88d77-98ef-11e9-b9cf-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d88d78-98ef-11e9-b33e-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d88d78-98ef-11e9-b33e-0028f8be90af,b6d531db-98ef-11e9-8f89-0028f8be90af,Mover
b6d88d78-98ef-11e9-b33e-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d88d79-98ef-11e9-be3d-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d88d79-98ef-11e9-be3d-0028f8be90af,b6d531da-98ef-11e9-b7a2-0028f8be90af,Mover
b6d88d79-98ef-11e9-be3d-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d88d7a-98ef-11e9-846b-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
